Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,850.840027,856.539978,849.270020,854.729980,854.729980,0
2017-06-23,854.869995,862.510010,852.880005,861.809998,861.809998,0
2017-06-26,863.309998,865.159973,856.340027,860.880005,860.880005,0
2017-06-27,860.659973,861.059998,848.719971,848.770020,848.770020,0
2017-06-28,851.309998,864.419983,851.309998,864.049988,864.049988,0
2017-06-29,864.450012,864.450012,846.299988,854.489990,854.489990,0
2017-06-30,855.280029,858.640015,853.590027,855.210022,855.210022,0
2017-07-03,858.059998,859.419983,854.239990,857.739990,857.739990,0
2017-07-05,857.640015,857.820007,852.119995,857.190002,857.190002,0
2017-07-06,855.309998,855.309998,844.489990,845.669983,845.669983,0
2017-07-07,847.650024,857.500000,847.650024,856.929993,856.929993,0
2017-07-10,856.150024,857.960022,850.179993,853.030029,853.030029,0
2017-07-11,853.349976,859.619995,852.039978,857.739990,857.739990,0
2017-07-12,860.960022,869.010010,860.960022,865.840027,865.840027,0
2017-07-13,866.179993,866.700012,859.219971,865.179993,865.179993,0
2017-07-14,865.159973,870.469971,864.859985,868.020020,868.020020,0
2017-07-17,868.140015,870.520020,865.979980,868.570007,868.570007,0
2017-07-18,867.659973,867.659973,863.650024,866.809998,866.809998,0
2017-07-19,868.150024,875.210022,868.150024,875.210022,875.210022,0
2017-07-20,875.780029,877.559998,873.270020,875.909973,875.909973,0
2017-07-21,878.309998,880.640015,871.280029,872.369995,872.369995,0
2017-07-24,872.809998,876.330017,870.719971,876.090027,876.090027,0
2017-07-25,878.280029,882.020020,877.150024,880.650024,880.650024,0
2017-07-26,880.960022,881.940002,877.320007,878.039978,878.039978,0
2017-07-27,879.039978,879.960022,863.849976,869.150024,869.150024,0
2017-07-28,867.099976,867.900024,863.780029,866.650024,866.650024,0
2017-07-31,867.229980,868.510010,860.330017,862.280029,862.280029,0
2017-08-01,864.070007,866.000000,859.429993,863.830017,863.830017,0
2017-08-02,863.890015,864.159973,849.619995,853.479980,853.479980,0
2017-08-03,853.989990,855.429993,848.140015,849.979980,849.979980,0
2017-08-04,850.739990,853.809998,850.380005,852.849976,852.849976,0
2017-08-07,853.380005,857.989990,852.340027,856.799988,856.799988,0
2017-08-08,856.260010,863.789978,852.179993,853.940002,853.940002,0
2017-08-09,851.679993,851.679993,844.580017,847.109985,847.109985,0
2017-08-10,844.729980,844.729980,830.059998,830.070007,830.070007,0
2017-08-11,829.950012,836.119995,829.179993,835.229980,835.229980,0
2017-08-14,838.090027,847.659973,838.090027,847.489990,847.489990,0
2017-08-15,848.090027,848.599976,841.280029,841.460022,841.460022,0
2017-08-16,842.489990,847.130005,841.599976,842.440002,842.440002,0
2017-08-17,841.080017,843.710022,827.479980,827.590027,827.590027,0
2017-08-18,825.270020,829.710022,822.280029,826.900024,826.900024,0
2017-08-21,826.729980,827.200012,822.229980,826.200012,826.200012,0
2017-08-22,827.409973,836.710022,827.409973,836.119995,836.119995,0
2017-08-23,834.429993,835.799988,830.409973,833.640015,833.640015,0
2017-08-24,835.580017,838.460022,834.169983,836.039978,836.039978,0
2017-08-25,837.140015,839.590027,834.049988,836.000000,836.000000,0
2017-08-28,837.390015,842.469971,837.390015,842.280029,842.280029,0
2017-08-29,839.710022,845.469971,835.739990,844.390015,844.390015,0
2017-08-30,844.520020,851.929993,843.830017,850.869995,850.869995,0
2017-08-31,851.880005,860.890015,851.880005,860.619995,860.619995,0
2017-09-01,861.369995,865.559998,860.359985,865.309998,865.309998,0
2017-09-05,864.549988,867.099976,854.650024,859.250000,859.250000,0
2017-09-06,860.429993,863.349976,857.130005,859.880005,859.880005,0
2017-09-07,860.859985,861.409973,856.590027,859.669983,859.669983,0
2017-09-08,859.140015,862.349976,856.989990,859.210022,859.210022,0
2017-09-11,862.020020,868.150024,862.020020,867.010010,867.010010,0
2017-09-12,867.190002,870.669983,867.150024,870.669983,870.669983,0
2017-09-13,870.419983,872.619995,869.429993,871.119995,871.119995,0
2017-09-14,870.599976,871.760010,867.119995,870.270020,870.270020,0
2017-09-15,870.520020,874.130005,868.260010,873.979980,873.979980,0
2017-09-18,874.340027,882.750000,874.340027,880.469971,880.469971,0
2017-09-19,880.479980,881.450012,877.909973,879.349976,879.349976,0
2017-09-20,879.500000,882.429993,878.239990,881.280029,881.280029,0
2017-09-21,881.130005,883.489990,877.760010,880.520020,880.520020,0
2017-09-22,879.349976,884.609985,878.780029,883.900024,883.900024,0
2017-09-25,883.460022,884.049988,877.080017,881.380005,881.380005,0
2017-09-26,882.179993,885.099976,881.760010,882.450012,882.450012,0
2017-09-27,882.840027,903.320007,882.840027,901.239990,901.239990,0
2017-09-28,901.239990,904.539978,898.309998,903.700012,903.700012,0
2017-09-29,904.260010,907.679993,904.260010,906.830017,906.830017,0
2017-10-02,907.299988,918.690002,907.299988,918.690002,918.690002,0
2017-10-03,919.440002,920.700012,915.169983,920.500000,920.500000,0
2017-10-04,920.820007,923.359985,918.090027,920.229980,920.229980,0
2017-10-05,920.270020,922.309998,919.609985,921.140015,921.140015,0
2017-10-06,921.119995,922.250000,918.440002,922.000000,922.000000,0
2017-10-09,922.460022,923.210022,915.590027,916.729980,916.729980,0
2017-10-10,918.809998,920.840027,914.840027,917.609985,917.609985,0
2017-10-11,917.760010,919.760010,916.460022,917.669983,917.669983,0
2017-10-12,917.349976,918.719971,914.330017,917.119995,917.119995,0
2017-10-13,917.390015,917.859985,914.210022,914.570007,914.570007,0
2017-10-16,914.679993,919.719971,912.200012,914.289978,914.289978,0
2017-10-17,914.239990,916.859985,911.099976,911.979980,911.979980,0
2017-10-18,912.369995,917.960022,912.369995,916.330017,916.330017,0
2017-10-19,915.320007,916.330017,906.650024,913.750000,913.750000,0
2017-10-20,915.909973,921.320007,915.909973,919.469971,919.469971,0
2017-10-23,920.159973,921.289978,913.059998,913.219971,913.219971,0
2017-10-24,913.719971,918.330017,913.719971,914.969971,914.969971,0
2017-10-25,914.880005,914.880005,903.679993,909.979980,909.979980,0
2017-10-26,910.679993,915.460022,910.409973,912.419983,912.419983,0
2017-10-27,912.669983,920.469971,910.570007,920.469971,920.469971,0
2017-10-30,919.650024,919.650024,907.349976,911.539978,911.539978,0
2017-10-31,912.450012,922.989990,912.450012,920.460022,920.460022,0
2017-11-01,921.739990,926.020020,907.020020,912.530029,912.530029,0
2017-11-02,912.190002,915.619995,909.359985,912.989990,912.989990,0
